title,release_year,listed_in,rating,country
Searching for Sugar Man,2012,"Documentaries, International Movies, Music & Musicals",PG-13,"Sweden, United Kingdom, Finland"
Season of the Witch,2011,"Action & Adventure, Sci-Fi & Fantasy",PG-13,United States
Secret,2007,"Dramas, International Movies, Music & Musicals",TV-PG,"Hong Kong, Taiwan"
Secret Affair,2014,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV-14,South Korea
Secret in Their Eyes,2015,"Dramas, Thrillers",PG-13,"United States, United Kingdom, Spain, South Korea"
Secrets of Althorp - The Spencers,2013,"Documentaries, International Movies",TV-PG,United States
Secrets of Chatsworth,2013,"Documentaries, International Movies",TV-PG,United States
Secrets of Henry VIII's Palace: Hampton Court,2013,"Documentaries, International Movies",TV-PG,United States
Secrets of Her Majesty's Secret Service,2014,"Documentaries, International Movies",TV-PG,United Kingdom
Secrets of Highclere Castle,2013,"Documentaries, International Movies",TV-PG,United States
Secrets of Scotland Yard,2013,Documentaries,TV-14,United Kingdom
Secrets of Selfridges,2014,Documentaries,TV-PG,United States
Secrets of the Tower of London,2013,Documentaries,TV-PG,United Kingdom
Secrets of Underground London,2014,"Documentaries, International Movies",TV-PG,United Kingdom
Secrets of Westminster,2014,"Documentaries, International Movies",TV-PG,"United States, United Kingdom"
Sen Kimsin?,2012,"Comedies, International Movies",TV-14,Turkey
Senna,2010,"Documentaries, International Movies, Sports Movies",PG-13,"United Kingdom, France, United States"
Sensitive Skin,2016,TV Comedies,TV-MA,Canada
"Septiembre, un llanto en silencio",2017,"Dramas, Independent Movies, International Movies",TV-MA,Guatemala
Servant of the People,2015,"International TV Shows, TV Comedies",TV-14,Ukraine
Set Up,2011,Action & Adventure,R,United States
Sex and the City 2,2010,"Comedies, Dramas, Romantic Movies",R,United States
Sex and the City: The Movie,2008,"Comedies, Dramas, Romantic Movies",R,United States
Sex Doll,2016,"Dramas, International Movies, Romantic Movies",UR,"United Kingdom, France"
"Sexo, Pudor y Lagrimas",1999,"Comedies, Dramas, International Movies",R,Mexico
SGT. Will Gardner,2019,Dramas,TV-MA,United States
Shadow of Truth,2016,"Crime TV Shows, Docuseries, International TV Shows",TV-MA,Israel
Shahanpan Dega Deva,2011,"Comedies, International Movies",TV-14,India
Shaka Zulu,1986,TV Dramas,TV-14,"Italy, South Africa, West Germany, Australia, United States"
Shakti: The Power,2002,"Dramas, International Movies, Thrillers",TV-MA,India
Shanghai,2012,"Dramas, Independent Movies, International Movies",TV-14,India
Shararat,2002,"Comedies, International Movies, Music & Musicals",TV-PG,India
Shark Busters,2002,"Dramas, International Movies",TV-14,Hong Kong
Shark Night,2011,Horror Movies,PG-13,United States
Shaurya: It Takes Courage to Make Right... Right,2008,"Dramas, International Movies",TV-14,India
She Did That,2019,Documentaries,TV-PG,United States
Shelter,2010,"Horror Movies, Thrillers",R,United States
Sherlock,2017,"British TV Shows, Crime TV Shows, International TV Shows",TV-14,"United Kingdom, United States"
Sherlock Holmes,2009,"Action & Adventure, Comedies",PG-13,"United States, Germany, United Kingdom, Australia"
Shiva,1990,"Action & Adventure, Dramas, International Movies",TV-MA,India
Shopkins: Chef Club,2016,Movies,TV-Y,United States
Shopkins: Wild,2018,Movies,TV-Y,Australia
Shopkins: World Vacation,2017,Movies,TV-Y,Australia
Shorgul,2016,"Dramas, International Movies",TV-14,India
Short Term 12,2013,"Dramas, Independent Movies",R,United States
Shorts,2009,"Children & Family Movies, Comedies",PG,"United States, United Arab Emirates"
SHOT! The Psycho-Spiritual Mantra of Rock,2016,"Documentaries, Music & Musicals",TV-MA,"United Kingdom, United States"
Shuddhi,2017,"Dramas, International Movies, Thrillers",TV-14,"India, United States"
Shutter,2004,"Horror Movies, International Movies",TV-MA,Thailand
Sicilian Ghost Story,2017,"Dramas, International Movies, Thrillers",TV-MA,"Italy, France, Switzerland"
Sid the Science Kid,2008,Kids' TV,TV-Y,United States
Siddhant,2014,"Dramas, Independent Movies, International Movies",TV-G,India
Silencer,2018,"Action & Adventure, Independent Movies",TV-MA,United States
Silent Hill: Revelation,2012,Horror Movies,R,"Canada, France, United States"
Silicon Cowboys,2016,Documentaries,TV-PG,United States
Silver Spoon,2015,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV-MA,Russia
Sin senos no hay paraíso,2008,"International TV Shows, Spanish-Language TV Shows, TV Dramas",TV-14,"Colombia, Mexico, United States"
Sin Senos sí Hay Paraíso,2018,"International TV Shows, Spanish-Language TV Shows, TV Dramas",TV-MA,"United States, Colombia"
Singh Saab the Great,2013,"Action & Adventure, Dramas, International Movies",TV-14,India
Single,2015,"Comedies, International Movies, Romantic Movies",TV-PG,Indonesia
Singularity,2017,"Action & Adventure, Dramas, Sci-Fi & Fantasy",PG-13,"Switzerland, United States"
Sinister Circle,2017,"Horror Movies, International Movies",TV-MA,Peru
Siren,2016,Horror Movies,TV-MA,United States
Sister Code,2015,"Comedies, Dramas, Romantic Movies",R,United States
Skin Trade,2014,Action & Adventure,R,"Thailand, Canada, United States"
Skin Wars,2016,Reality TV,TV-14,United States
Skin Wars: Fresh Paint,2016,Reality TV,TV-14,United States
Skiptrace,2016,"Action & Adventure, Comedies",PG-13,"China, Hong Kong, United States"
Sky on Fire,2016,"Action & Adventure, International Movies",TV-MA,"China, Hong Kong"
Skydancers,2014,"Documentaries, Sports Movies",TV-G,"United States, France"
Skyline,2010,"Action & Adventure, Sci-Fi & Fantasy",PG-13,United States
Sleeping with Other People,2015,"Comedies, Dramas, Independent Movies",R,United States
Sleepover,2004,"Comedies, Romantic Movies",PG,United States
Sling Blade,1996,"Dramas, Independent Movies",R,United States
Sliver,1993,Thrillers,R,United States
Slobby's World,2018,Reality TV,TV-MA,United States
Slow West,2015,"Action & Adventure, Dramas, International Movies",R,"United Kingdom, New Zealand"
Small Soldiers,1998,"Action & Adventure, Comedies, Sci-Fi & Fantasy",PG-13,United States
Smart People,2008,"Comedies, Dramas, Independent Movies",R,United States
Smash: Motorized Mayhem,2017,"Documentaries, Sports Movies",TV-MA,United States
SMOSH: The Movie,2015,Comedies,PG-13,United States
Sniper: Special Ops,2016,"Action & Adventure, Dramas",R,United States
Socha Na Tha,2005,"Comedies, International Movies, Romantic Movies",TV-14,India
Social Animals,2018,Documentaries,TV-MA,United States
Soekarno,2013,"Dramas, International Movies",TV-MA,Indonesia
Solo Con Tu Pareja,1991,"Comedies, Independent Movies, International Movies",NR,Mexico
Solo: A Star Wars Story,2018,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy",PG-13,United States
Solo: A Star Wars Story (Spanish Version),2018,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy",PG-13,United States
Solomon Kane,2009,"Action & Adventure, International Movies, Sci-Fi & Fantasy",R,"Czech Republic, United Kingdom, France"
Some Freaks,2017,"Dramas, Romantic Movies",TV-MA,United States
Something's Gotta Give,2003,"Comedies, Romantic Movies",PG-13,United States
Son of a Gun,2014,"Action & Adventure, Dramas, Independent Movies",R,"Australia, United Kingdom, Canada"
Sons of Ben,2016,"Documentaries, Sports Movies",NR,United States
Sotus The Series,2016,"International TV Shows, Romantic TV Shows, TV Dramas",TV-MA,Thailand
Soul Surfer,2011,"Dramas, Faith & Spirituality, Sports Movies",PG,United States
Soul to Keep,2019,"Horror Movies, Independent Movies",TV-MA,United States
Sour Grapes,2016,Documentaries,NR,United Kingdom
Space Racers,2014,Kids' TV,TV-Y,United States
Sparkle,1976,"Dramas, Music & Musicals",PG,United States
Spartacus,2013,"TV Action & Adventure, TV Dramas",TV-MA,United States
Speech & Debate,2017,"Comedies, Dramas, Independent Movies",PG-13,United States
Speed Is My Need,2019,"Documentaries, Sports Movies",TV-14,United Kingdom
Spider-Man 3,2007,"Action & Adventure, Sci-Fi & Fantasy",PG-13,United States
Spider-Man: Into the Spider-Verse,2018,"Action & Adventure, Comedies",PG,United States
Spitfire: The Plane that Saved the World,2018,Documentaries,TV-14,United Kingdom
Splash and Bubbles,2018,Kids' TV,TV-Y,United States
Spotlight,2015,"Dramas, Independent Movies",R,United States
Spring Breakers,2012,"Comedies, Cult Movies, Dramas",R,"United States, France"
Sprinter,2018,"Dramas, International Movies, Sports Movies",TV-MA,"Jamaica, United States"
Spy Kids,2001,"Children & Family Movies, Comedies",PG,United States
Spy Kids 2: The Island of Lost Dreams,2002,"Children & Family Movies, Comedies",PG,United States
Spy Kids 3: Game Over,2003,"Children & Family Movies, Comedies",PG,United States
Spy Time,2015,"Action & Adventure, Comedies, International Movies",TV-MA,Spain
St. Agatha,2018,"Horror Movies, Independent Movies",TV-MA,United States
Staged Killer,2019,Thrillers,TV-14,United States
Standoff,2015,Action & Adventure,R,Canada
Star Men,2015,Documentaries,TV-14,"Canada, United States, United Kingdom"
Star Wars: Episode VIII: The Last Jedi,2017,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy",PG-13,United States
Star-Crossed,2014,"Romantic TV Shows, TV Dramas, TV Sci-Fi & Fantasy",TV-14,United States
Starred Up,2013,"Dramas, Independent Movies, International Movies",TV-MA,United Kingdom
Station Horizon,2015,"International TV Shows, TV Comedies, TV Dramas",TV-MA,Switzerland
Stealing History,2006,"Documentaries, International Movies",TV-PG,United States
Step Brothers,2008,Comedies,R,United States
Step Outside,2018,"Comedies, International Movies",TV-14,Egypt
Stephanie,2017,Horror Movies,R,United States
Sthaniya Sambaad,2010,"Dramas, International Movies",TV-14,India
Still,2010,"Horror Movies, International Movies",TV-MA,Thailand
Stink!,2015,Documentaries,TV-PG,United States
Stoked,2010,Kids' TV,TV-PG,"United States, Canada"
Stone Age,2017,"Kids' TV, Korean TV Shows",TV-Y7,South Korea
Stonehearst Asylum,2014,"Horror Movies, Thrillers",PG-13,United States
Stop at Nothing: The Lance Armstrong Story,2014,"Documentaries, International Movies, Sports Movies",NR,"Australia, United Kingdom, United States, New Zealand, Italy, France"
Storage Wars: Northern Treasures,2015,"International TV Shows, Reality TV",TV-MA,United States
Story of an Egg,2017,"Comedies, International Movies, Romantic Movies",TV-PG,India
Straight Up,2020,"Comedies, Independent Movies, LGBTQ Movies",TV-MA,United States
Strange but True,2019,"Dramas, Thrillers",PG-13,Canada
Stranger than Fiction,2006,"Comedies, Romantic Movies",PG-13,"United States, United Kingdom"
Strawberry Shortcake: Berry Bitty Adventures,2015,Kids' TV,TV-Y,"France, United States, Canada"
Strictly Ballroom,1992,"Classic Movies, Comedies, Romantic Movies",PG,"Australia, United Kingdom"
Strike a Pose,2016,"Documentaries, International Movies, LGBTQ Movies",TV-MA,"Netherlands, Belgium"
Stripes,1981,"Classic Movies, Comedies, Cult Movies",R,United States
Striptease,1996,"Comedies, Dramas",R,United States
Strong Girl Bong-soon,2017,"Crime TV Shows, International TV Shows, Korean TV Shows",TV-14,South Korea
Stronger Than the World,2016,"Action & Adventure, Dramas, International Movies",NR,Brazil
Stuart Little 2,2002,"Children & Family Movies, Comedies",PG,United States
Submission,2019,"Action & Adventure, Dramas",TV-MA,United States
Suburra,2015,"Dramas, International Movies, Thrillers",NR,"Italy, France"
Suckseed,2011,"Comedies, International Movies, Music & Musicals",TV-MA,Thailand
Sudani from Nigeria,2018,"Comedies, Dramas, International Movies",TV-14,India
Suicide (Hitabdut),2014,"International Movies, Thrillers",TV-MA,Israel
Suite Française,2014,"Dramas, International Movies, Romantic Movies",TV-MA,"United Kingdom, France, Canada, Belgium, United States"
Suits,2018,"International TV Shows, Korean TV Shows, TV Comedies",TV-MA,South Korea
Summer Night,2019,"Comedies, Dramas, Romantic Movies",TV-MA,United States
Summer of '92,2015,"Dramas, International Movies, Sports Movies",TV-MA,"Denmark, United Kingdom, Sweden"
Sunrise,2014,"Dramas, Independent Movies, International Movies",TV-MA,"India, France"
Super Bheem,2019,Kids' TV,TV-Y,India
Super Bheem Bana Vajraveer,2018,Children & Family Movies,TV-Y7,India
Super Dark Times,2017,"Dramas, Independent Movies, Thrillers",TV-MA,United States
Super Nani,2014,"Comedies, Dramas, International Movies",TV-PG,India
Super Wings,2020,"Kids' TV, Korean TV Shows",TV-Y,"United States, South Korea, China"
Superbad,2007,"Comedies, Cult Movies",R,United States
Superfly,1972,"Action & Adventure, Classic Movies, Dramas",R,United States
Superman Returns,2006,"Action & Adventure, Sci-Fi & Fantasy",PG-13,United States
SuperNature: Wild Flyers,2016,"British TV Shows, Docuseries, Science & Nature TV",TV-PG,United Kingdom
Superstar,1999,Comedies,PG-13,United States
Surat Dari Praha,2016,"Dramas, International Movies, Romantic Movies",TV-14,Indonesia
Surviving R. Kelly Part II: The Reckoning,2020,"Crime TV Shows, Docuseries",TV-MA,United States
Survivors Guide to Prison,2017,Documentaries,TV-MA,United States
Susanne Bartsch: On Top,2017,"Documentaries, LGBTQ Movies",TV-MA,United States
Sustainable,2016,Documentaries,TV-G,United States
Swami,1977,"Dramas, Independent Movies, International Movies",TV-PG,India
Sweeney Todd: The Demon Barber of Fleet Street,2007,"Dramas, Horror Movies, Music & Musicals",R,"United States, United Kingdom"
Sweet Virginia,2017,"Dramas, Independent Movies, Thrillers",R,"United States, Canada"
Swiss Army Man,2016,"Comedies, Dramas, Independent Movies",R,"United States, Sweden"
Sword Master,2016,"Action & Adventure, Dramas, International Movies",TV-MA,"China, Hong Kong"
Sword Masters: Two Champions of Shaolin,1980,"Action & Adventure, International Movies",R,Hong Kong
Sym-Bionic Titan,2010,Kids' TV,TV-PG,United States
Taal,1999,"Dramas, International Movies, Music & Musicals",TV-PG,India
Tahaan,2008,"Dramas, International Movies",TV-14,India
Take Me Home Tonight,2011,"Comedies, Romantic Movies",R,"United States, Germany"
Taken,2018,"Crime TV Shows, TV Action & Adventure, TV Thrillers",TV-14,"France, United States"
Tales of the City (1993),1993,TV Dramas,TV-MA,"United Kingdom, United States"
Tamanchey,2014,"Action & Adventure, International Movies, Romantic Movies",TV-MA,India
Tarif de nuit,2015,"International Movies, Thrillers",TV-MA,France
Tarzan,1999,Children & Family Movies,G,United States
Tarzan 2,2005,Children & Family Movies,G,United States
Tattah,2013,"Comedies, International Movies",TV-14,Egypt
Tayo the Little Bus Movie: Mission Ace,2016,Children & Family Movies,TV-Y7,United States
Teach Us All,2017,Documentaries,TV-14,United States
Teen Patti,2010,"Dramas, International Movies, Thrillers",TV-PG,India
Teenage Cocktail,2016,"Dramas, Independent Movies, LGBTQ Movies",TV-MA,United States
Teenage Mutant Ninja Turtles,2007,"Children & Family Movies, Comedies",PG,"Hong Kong, United States"
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,"Children & Family Movies, Comedies",PG,"United States, Hong Kong"
Tees Maar Khan,2010,"Comedies, International Movies, Music & Musicals",TV-PG,India
Tellur Aliens,2016,Children & Family Movies,TV-Y7,"United States, Kazakhstan"
Temporada de Caza,2017,"Dramas, International Movies",TV-MA,"Argentina, France, United States, Germany, Qatar"
Ten Years,2015,"Dramas, Independent Movies, International Movies",TV-MA,Hong Kong
Teresa,2010,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",TV-PG,Mexico
Terminator 3: Rise of the Machines,2003,"Action & Adventure, Sci-Fi & Fantasy",R,"United States, Germany, United Kingdom"
Terminator Salvation,2009,"Action & Adventure, Sci-Fi & Fantasy",PG-13,"United States, Germany, United Kingdom, Italy"
Terra,2015,"Documentaries, International Movies",TV-PG,France
Terrifier,2017,"Horror Movies, Independent Movies, Thrillers",TV-MA,United States
Teshan,2016,"Comedies, International Movies, Romantic Movies",TV-PG,India
Tezz,2012,"Action & Adventure, International Movies, Music & Musicals",TV-MA,"United Kingdom, India"
Th Eena Meena Deeka Chase Comedy Show,2015,"Kids' TV, TV Comedies",TV-Y7,India
Thackeray,2019,TV Shows,TV-MA,India
That '70s Show,2005,TV Comedies,TV-14,United States
The 2000s,2018,Docuseries,TV-MA,United States
The 24 Hour War,2016,"Documentaries, Sports Movies",TV-MA,United States
The 4th Company,2016,"Action & Adventure, Dramas, International Movies",TV-MA,"Mexico, Spain"
